serial_number,battery_name,data_recieved,tech_date_recieved,battery_status,technical_id,from_swap
AC241840900,80D26L 70AH,18/Mar/2024,,Stock,1,1
AC242041113,DIN100L 100AH,20/Mar/2024,,Stock,1,1
AC242041115,55D23L 60AH,20/Mar/2024,,Stock,2,2
AB242639462,DIN66L 66AH,26/Feb/2024,,Stock,2,2
AC240439899,DIN55L 60AH,4/Mar/2024,,Stock,2,2
AC240640056,DIN55R 60AH,6/Mar/2024,,Stock,1,1
AC240940285,DIN74L 74AH,9/Mar/2024,,Stock,1,1
AB242939701,NS60LS 45AH,29/Feb/2024,,Stock,2,2
AB242038664,NS60L 45AH,20/Feb/2024,,Stock,1,1
AC243041736,55D23L 60AH,30/Mar/2024,,Stock,2,2
AC242541526,55D23L 60AH,25/Mar/2024,,Stock,1,1
AC241040321,NS60LS 45AH,10/Mar/2024,,Stock,1,1
AC243041737,55D23L 60AH,30/Mar/2024,,Stock,2,2
AC242641549,DIN74L 74AH,26/Mar/2024,,Stock,1,1
AC242541525,NS60L 45AH,25/Mar/2024,,Stock,1,1
AB241037383,95D31L 90AH,10/Feb/2024,,Stock,2,2
AB242038638,NS60L 45AH,20/Feb/2024,,Stock,2,2
AC242141318,105D31R 100AH,21/Mar/2024,,Stock,1,1
AC241640778,DIN55L 60AH,16/Mar/2024,,Stock,1,1
AC242141266,80D26L 70AH,21/Mar/2024,,Stock,2,2
AC242541527,80D26L 70AH,25/Mar/2024,,Stock,1,1
AC240740144,80D26R 70AH,27/Mar/2024,,Stock,2,2
AC243041733,DIN55L 60AH,30/Mar/2024,,Stock,1,1
AC241740855,DIN55L 60AH,17/Mar/2024,,Stock,1,1
AC242341422,DIN55L 60AH,23/Mar/2024,,Stock,2,2
AC243141763,55D23L 60AH,31/Mar/2024,,Stock,2,2
AC242841651,80D26L 70AH,28/Mar/2024,,Stock,2,2
AC243041730,80D26L 70AH,30/Mar/2024,,Stock,1,1
AC243041731,80D26L 70AH,30/Mar/2024,,Stock,1,1
AC241040322,95D31L 90AH,10/Mar/2024,,Stock,1,1
AC243041732,80D26L 70AH,30/Mar/2024,,Stock,1,1
AC242341420,NS60LS 45AH,23/Mar/2024,,Stock,2,2
AC243141767,DIN74L 74AH,31/Mar/2024,,Stock,1,1
AC240339845,DIN66L 66AH,3/Mar/2024,,Stock,1,1
AC242841653,NS60LS 45AH,28/Mar/2024,,Stock,1,1
AC243141765,NS60LS 45AH,31/Mar/2024,,Stock,1,1
AB242038639,NS60L 45AH,20/Feb/2024,,Stock,2,2
AB242739574,65-72S 75AH,27/Feb/2024,,Stock,1,1
AD240141858,55D23L 60AH,1/Apr/2024,,Stock,2,2
AC242841652,80D26L 70AH,28/Mar/2024,,Stock,2,2
AD240241918,N120R 120AH,8/Apr/2024,,Stock,1,1
AD240241919,N120R 120AH,8/Apr/2024,,Stock,1,1
AD240241920,N120R 120AH,8/Apr/2024,,Stock,1,1
AD240241917,N120R 120AH,8/Apr/2024,,Stock,1,1
AA241534211,DIN55L 55AH,15-Jan-2024,,Stock,1,1
AD240642173,NS60LS 45AH,6/Apr/2024,,Stock,2,2
AC242741586,55D23L 60AH,27/Mar/2024,,Stock,1,1
AD240442117,55D23L 60AH,4/Apr/2024,,Stock,2,2
AC242741585,DIN74L 74AH,27/Mar/2024,,Stock,2,2
AC242841656,DIN55L 60AH,28/Mar/2024,,Stock,1,1
AC242141319,DIN80L 80AH,21/Mar/2024,,Stock,1,1
AD240241927,80D26L 70AH,2/Apr/2024,,Stock,1,1
AC242041111,NS60LS 45AH,20/Mar/2024,,Stock,2,2
AD240842562,80D26L 70AH,8/Apr/2024,,Stock,2,2
AC243041739,DIN55L 60AH,30/Mar/2024,,Stock,2,2
AD240842560,55D23L 60AH,8/Apr/2024,,Stock,2,2
AD240442118,80D26L 70AH,4/Apr/2024,,Stock,2,2
AB242639463,DIN80L 80AH,26/Feb/2024,,Stock,2,2
AD240241916,80D26L 70AH,2/Apr/2024,,Stock,2,2
AD240241929,DIN55L 60AH,2/Apr/2024,,Stock,1,1
AC243141764,NS60L 45AH,31/Mar/2024,,Stock,1,1
AD240141860,NS60L 45AH,1/Apr/2024,,Stock,1,1
AD240842680,80D26L 70AH,8/Apr/2024,,Stock,2,2
AD240141861,DIN74L 74AH,1/Apr/2024,,Stock,1,1
AD240842667,DIN80L 80AH,8/Apr/2024,,Stock,1,1
AD240442120,80D26L 70AH,4/Apr/2024,,Stock,1,1
AD240842682,80D26L 70AH,8/Apr/2024,,Stock,2,2
AD240842681,80D26L 70AH,8/Apr/2024,,Stock,2,2
AD240442119,DIN55L 60AH,4/Apr/2024,,Stock,2,2
AD240742321,NS60L 45AH,7/Apr/2024,,Stock,2,2
AC243041735,DIN100L 100AH,30/Mar/2024,,Stock,1,1
AD240442121,80D26L 70AH,4/Apr/2024,,Stock,1,1
AC242341424,DIN100L 100AH,23/Mar/2024,,Stock,1,1
AD240341972,DIN55L 60AH,3/Apr/2024,,Stock,1,1
AD240341973,DIN55L 60AH,3/Apr/2024,,Stock,1,1
AC243141762,NS60LS 45AH,31/Mar/2024,,Stock,2,2
AD241342726,DIN55L 60AH,13/Apr/2024,,Stock,1,1
AD240642178,DIN74L 74AH,6/Apr/2024,,Stock,1,1
AC242841654,55D23L 60AH,28/Mar/2024,,Stock,1,1
AD241543315,DIN55L 60AH,15/Apr/2024,,Stock,1,1
AC242841655,55D23L 60AH,28/Mar/2024,,Stock,1,1
AA242335257,95D31L 90AH,23/Jan/2024,,Stock,2,2
AD240842685,DIN80L 80AH,8/Apr/2024,,Stock,2,2
AD241543142,DIN55L 60AH,15/Apr/2024,,Stock,2,2
AD240842671,NS60L 45AH,8/Apr/2024,,Stock,1,1
AD240842666,DIN80L 80AH,8/Apr/2024,,Stock,1,1
AD241543166,DIN55L 60AH,15/Apr/2024,,Stock,1,1
AD241442949,DIN74L 74AH,14/Apr/2024,,Stock,1,1
AD241543165,DIN55L 60AH,15/Apr/2024,,Stock,1,1
AD241543168,DIN74L 74AH,15/Apr/2024,,Stock,1,1
AD240842673,DIN100L 100AH,8/Apr/2024,,Stock,1,1
AD241844204,DIN80L 80AH,18/Apr/2024,,Stock,2,2
AB240436458,DIN100L 100AH,5/Feb/2024,,Stock,2,2
AC243041740,DIN66L 66AH,30/Mar/2024,,Stock,2,2
AB240136012,DIN44L 45AH,1/Feb/2024,,Stock,2,2
AD240842561,55D23L 60AH,8/Apr/2024,,Stock,2,2
AD241342727,DIN55L 60AH,13/Apr/2024,,Stock,1,1
AC243141766,55D23L 60AH,31/Mar/2024,,Stock,1,1
AD241342724,DIN55L 60AH,13/Apr/2024,,Stock,2,2
AD241844308,DIN74L 74AH,20/Apr/2024,,Stock,1,1
AC242141317,105D31R 100AH,21/Mar/2024,,Stock,1,1
AD241543167,DIN55L 60AH,15/Apr/2024,,Stock,1,1
AD241844222,DIN55L 60AH,18/Apr/2024,,Stock,1,1
AD241844221,DIN55L 60AH,18/Apr/2024,,Stock,1,1
AD241844223,DIN74L 74AH,18/Apr/2024,,Stock,1,1
AD241844307,DIN55L 60AH,20/Apr/2024,,Stock,1,1
AD242244686,55D23L 60AH,22/Apr/2024,,Stock,2,2
AD240642175,80D26L 70AH,6/Apr/2024,,Stock,1,1
AD240842659,80D26L 70AH,8/Apr/2024,,Stock,1,1
AD242244642,DIN55L 60AH,22/Apr/2024,,Stock,1,1
AD241844203,DIN55L 60AH,18/Apr/2024,,Stock,2,2
AD242344792,80D26R 70AH,23-Apr-2024,,Stock,2,2
AD240842660,80D26L 70AH,8/Apr/2024,,Stock,1,1
AD241442948,80D26L 70AH,14/Apr/2024,,Stock,2,2
AD240842678,55D23L 60AH,8/Apr/2024,,Stock,2,2
AD242244644,DIN55L 60AH,22/Apr/2024,,Stock,1,1
AD240842654,55D23L 60AH,8/Apr/2024,,Stock,1,1
AC241640780,65-72S 75AH,16/Mar/2024,,Stock,1,1
AD240842657,80D26L 70AH,8/Apr/2024,,Stock,1,1
AD240842672,DIN100L 100AH,8/Apr/2024,,Stock,1,1
AC240740134,80D26R 70AH,26/Mar/2024,,Stock,1,1
AD242344791,DIN74L 74AH,23/Apr/2024,,Stock,1,1
AD241543141,80D26L 70AH,15/Apr/2024,,Stock,2,2
AD242545793,95D31L 90AH,25/Apr/2024,,Stock,1,1
AD242244645,DIN74L 74AH,22/Apr/2024,,Stock,1,1
QBFD26F232504711,80D26L 70AH,28/Jan/2024,,Stock,1,1
AD240842655,55D23L 60AH,8/Apr/2024,,Stock,1,1
AD240642174,NS60LS 45AH,6/Apr/2024,,Stock,1,1
AD242545794,95D31R 90AH,25/Apr/2024,,Stock,1,1
AD242846389,DIN74L 74AH,28/Apr/2024,,Stock,1,1
AD240241928,105D31R 100AH,2/Apr/2024,,Stock,1,1
AD241844309,DIN100L 100AH,20/Apr/2024,,Stock,1,1
AC240740156,80D26R 70AH,3/Apr/2024,,Stock,2,2
AD242545633,80D26L 70AH,25/Apr/2024,,Stock,2,2
AD242846313,80D26L 70AH,28/Apr/2024,,Stock,2,2
AC241740854,NS40L 35AH BH,17/Mar/2024,,Stock,1,1
AD240842658,80D26L 70AH,8/Apr/2024,,Stock,1,1
AD242445170,DIN55L 60AH,24/Apr/2024,,Stock,2,2
B336V7A21H98,DIN66R 66AH,1-Jan-2023,,Stock,1,1
AB241437871,55D23L 55AH,14/Feb/2024,,Stock,1,1
AC241840901,DIN66L 66AH,18/Mar/2024,,Stock,1,1
AD240842661,80D26L 70AH,8/Apr/2024,,Stock,1,1
AD241844306,DIN100L 100AH,20/Apr/2024,,Stock,2,2
AD242445172,DIN55L 60AH,24/Apr/2024,,Stock,1,1
AD242946787,55D23L 55AH,30/Apr/2024,,Stock,2,2
QBFNS4L231130085,NS40L 35AH,1-Jan-2023,,Stock,1,1
AD242846387,80D26R 70AH,28/Apr/2024,,Stock,1,1
AD242946725,80D26R 70AH,29/Apr/2024,,Stock,1,2
AD241442947,80D26L 70AH,14/Apr/2024,,Stock,1,2
AD242946786,80D26L 70AH,30/Apr/2024,,Stock,1,2
AD242445171,80D26L 70AH,24/Apr/2024,,Stock,1,1
AD242946724,80D26L 70AH,29/Apr/2024,,Stock,1,2
AD242946784,80D26L 70AH,30/Apr/2024,,Stock,1,1
AE243046845,80D26L 70AH,1/May/2024,,Stock,1,1
AD240842653,105D31R 100AH,8/Apr/2024,,Stock,1,1
AE240247087,80D26L 70AH,2-May-2024,,Stock,1,1
AD242946785,DIN55L 60AH,30/Apr/2024,,Stock,2,2
AD242846388,DIN74L 74AH,28/Apr/2024,,Stock,1,1
AD240842677,55D23L 60AH,8/Apr/2024,,Stock,2,2
QBFD31L230930049,105D31L 100AH,1-Jan-2023,,Stock,2,1
B336V7A21H116,DIN66R 66AH,1-Jan-2023,,Stock,2,1
AA242735489,DIN88L 88AH,27/Jan/2024,,Stock,2,2
QBFNS6L230930048,NS60R 45AH,1-Jan-2023,,Stock,1,1
AC242341423,105D31L 100AH,23/Mar/2024,,Stock,1,1
AD240842684,DIN66L 66AH,8/Apr/2024,,Stock,2,2
AD240141857,95D31L 90AH,1/Apr/2024,,Stock,2,2
AD240842676,55D23L 60AH,8/Apr/2024,,Stock,2,2
AE240747737,80D26L 70AH,8/May/2024,,Stock,1,1
AD242344790,80D26L 70AH,23/Apr/2024,,Stock,1,1
AE240747739,N170L 170AH,8/May/2024,,Stock,1,1
AE240747738,N170L 170AH,8/May/2024,,Stock,1,1
AD242244641,DIN55L 60AH,22/Apr/2024,,Stock,1,1
AD240842668,DIN80L 80AH,8/Apr/2024,,Stock,1,1
AD242746102,DIN55L 60AH,27/Apr/2024,,Stock,1,1
AD240842679,55D23L 55AH,8/Apr/2024,,Stock,2,2
AE240247088,80D26L 70AH,2/May/2024,,Stock,2,1
AD242244643,DIN55L 60AH,22/Apr/2024,,Stock,1,1
AD240842656,55D23L 60AH,8/Apr/2024,,Stock,1,1
AE243046846,DIN55L 60AH,1/May/2024,,Stock,1,1
AE240948012,DIN55L 60AH,9/May/2024,,Stock,1,1
AD242144396,55D23L 60AH,21/Apr/2024,,Stock,1,1
AA241834860,DIN55L 55AH,18-Jan-2024,,Stock,1,1
AE240948011,DIN55L 60AH,9/May/2024,,Stock,1,1
AD241342725,DIN74L 74AH,13/Apr/2024,,Stock,2,2
AD241342723,NS60LS 45AH,13/Apr/2024,,Stock,2,2
AD240742320,NS60LS 45AH,7/Apr/2024,,Stock,1,1
AE240247090,80D26L 70AH,2/May/2024,,Stock,1,1
AC243041738,DIN55L 55AH,30/Mar/2024,,Stock,2,2
AD242244530,DIN55L 60AH,22/Apr/2024,,Stock,2,2
AE240447223,DIN55L 60AH,4/May/2024,,Stock,2,2
AD242746103,55D23L 60AH,27/Apr/2024,,Stock,1,1
AD242846386,55D23L 60AH,28/Apr/2024,,Stock,1,1
AD240842559,DIN55L 55AH,8/Apr/2024,,Stock,1,1
AE240247091,80D26L 70AH,2/May/2024,,Stock,2,2
AD240642177,DIN66L 66AH,6/Apr/2024,,Stock,1,1
AE240547390,105D31L 100AH,5/May/2024,,Stock,1,1
AE241248606,DIN74L 74AH,12/May/2024,,Stock,2,2
AE241148287,DIN55L 60AH,11/May/2024,,Stock,1,1
AE240847740,55D23L 60AH,8/May/2024,,Stock,2,2
AE240447224,105D31R 100AH,4/May/2024,,Stock,1,1
AD240842652,105D31R 100AH,8/Apr/2024,,Stock,1,1
AE240247094,80D26L 70AH,2/May/2024,,Stock,2,2
AE240247092,80D26L 70AH,2/May/2024,,Stock,2,2
AE241349009,105D31L 100AH,13/May/2024,,Stock,1,1
AE241148292,55D23L 60AH,11/May/2024,,Stock,1,1
AE240547389,55D23L 60AH,5/May/2024,,Stock,2,2
AE241348919,55D23L 60AH,13/May/2024,,Stock,2,2
AD242946728,DIN74L 74AH,29/Apr/2024,,Stock,1,1
AD242946729,DIN100L 100AH,29/Apr/2024,,Stock,1,1
AD241844305,DIN80L 80AH,20/Apr/2024,,Stock,1,1
AD240241915,NS60L 45AH,2/Apr/2024,,Stock,2,2
AC240539981,DIN55L 55AH,5/Mar/2024,,Stock,1,1
AC242341421,DIN55L 55AH,23/Mar/2024,,Stock,2,2
AB240736983,NS40L 35AH,7/Feb/2024,,Stock,2,2
AD240842674,105D31R 100AH,8/Apr/2024,,Stock,2,2
AE240247093,80D26L 70AH,2/May/2024,,Stock,1,2
AE240747736,80D26L 70AH,8/May/2024,,Stock,1,1
AD240842669,NS60LS 45AH,8/Apr/2024,,Stock,1,1
AE240948019,DIN66L 66AH,9/May/2024,,Stock,2,2
AE241449290,DIN55L 60AH,14/May/2024,,Stock,1,1
AD240842664,DIN66L 66AH,8/Apr/2024,,Stock,1,1
AC241340583,95D31L 90AH,13/Mar/2024,,Stock,1,1
AC241340485,DIN74L 74AH,13/Mar/2024,,Stock,2,2
AE241248607,80D26L 70AH,12/May/2024,,Stock,2,2
AE241649529,80D26L 70AH,16/May/2024,,Stock,1,1
AE240447225,DIN74L 74AH,4/May/2024,,Stock,1,1
AE242050168,DIN74L 74AH,21/May/2024,,Stock,1,1
AE241649534,55D23L 60AH,16/May/2024,,Stock,2,2
AE242150265,DIN74L 74AH,21/May/2024,,Stock,2,2
AE241649530,80D26L 70AH,16/May/2024,,Stock,1,1
AE241849866,80D26L 70AH,19/May/2024,,Stock,1,1
AD240642176,95D31L 90AH,6/Apr/2024,,Stock,1,1
AE241649532,105D31R 100AH,16/May/2024,,Stock,1,1
AE242250561,55D23L 60AH,22/May/2024,,Stock,2,2
AD241844304,DIN44L 45AH,20/Apr/2024,,Stock,2,2
AB241838426,55D23R 60AH,18/Feb/2024,,Stock,1,1
AE241849865,80D26L 70AH,19/May/2024,,Stock,1,1
AD240842663,95D31L 90AH,8/Apr/2024,,Stock,1,1
AE242150263,80D26L 70AH,21/May/2024,,Stock,1,1
AD240842563,NS60LS 45AH,8/Apr/2024,,Stock,2,2
AE240948018,NS60L 45AH,9/May/2024,,Stock,2,2
AD241844224,DIN80L 80AH,18/Apr/2024,,Stock,1,1
AE242550698,80D26L 70AH,25/May/2024,,Stock,1,1
AE241349007,55D23L 60AH,13/May/2024,,Stock,1,1
AE242250558,80D26L 70AH,22/May/2024,,Stock,1,1
AE240247089,80D26L 70AH,2/May/2024,,Stock,1,1
AE242250559,80D26L 70AH,22/May/2024,,Stock,1,1
AE242050172,DIN66L 66AH,20/May/2024,,Stock,2,2
AE242150562,DIN74L 74AH,21/May/2024,,Stock,2,2
AD242846390,DIN100L 100AH,28/Apr/2024,,Stock,1,1
AE241649528,DIN74L 74AH,16/May/2024,,Stock,1,1
AE242150262,DIN74L 74AH,21/May/2024,,Stock,1,1
AD240842665,DIN66L 66AH,8/Apr/2024,,Stock,1,1
AE242650762,80D26L 70AH,26/May/2024,,Stock,1,1
AE241549434,DIN74L 74AH,15/May/2024,,Stock,2,2
AE241148290,DIN55L 60AH,11/May/2024,,Stock,1,1
AE241649527,55D23L 60AH,16/May/2024,,Stock,1,1
AE242650763,80D26L 70AH,26/May/2024,,Stock,1,1
AE241349008,55D23L 60AH,13/May/2024,,Stock,1,1
AE242550697,80D26L 70AH,25/May/2024,,Stock,1,1
AE242750854,DIN74L 74AH,27/May/2024,,Stock,2,2
AE241649535,55D23L 60AH,16/May/2024,,Stock,2,2
AB240336168,65-72S 75AH,3/Feb/2024,,Stock,2,2
AE241148293,55D23L 60AH,11/May/2024,,Stock,1,1
AE241849646,DIN100L 100AH,18/May/2024,,Stock,1,1
AE242750858,DIN74L 74AH,27/May/2024,,Stock,1,1
AE241148291,DIN55L 55AH,11/May/2024,,Stock,1,1
AD242946783,NS40L 35AH BH,30/Apr/2024,,Stock,1,1
AE242750859,DIN74L 74AH,27/May/2024,,Stock,1,1
AD240842662,95D31L 90AH,8/Apr/2024,,Stock,1,1
AE241148289,DIN55L 60AH,11/May/2024,,Stock,1,1
AD241643353,NS60LS 45AH,16/Apr/2024,,Stock,2,2
AE242851865,65-72S 75AH,29/May/2024,,Stock,2,2
AE242050171,DIN66L 66AH,20/May/2024,,Stock,1,1
AE242650768,NS60L 45AH,26/May/2024,,Stock,2,2
AE242050170,DIN55L 60AH,20/May/2024,,Stock,1,1
AE242650761,80D26L 70AH,26/May/2024,,Stock,1,1
AE241348918,DIN55L 60AH,13/May/2024,,Stock,2,2
AE242650766,80D26L 70AH,26/May/2024,,Stock,2,2
AE240247191,80D26R 70AH,2/May/2024,,Stock,2,2
AD240842683,95D31L 90AH,8/Apr/2024,,Stock,2,2
AE241849666,DIN80L 80AH,18/May/2024,,Stock,2,2
AE242050169,NS60LS 45AH,20/May/2024,,Stock,1,1
AE242750860,DIN100L 100AH,27/May/2024,,Stock,1,1
AE242851859,DIN74L 74AH,29/May/2024,,Stock,1,1
AE241148288,DIN55L 60AH,11/May/2024,,Stock,1,1
AE242952430,DIN74L 74AH,30/May/2024,,Stock,1,1
AE242750970,DIN55L 60AH,28/May/2024,,Stock,1,1
AE242851177,DIN74L 74AH,28/May/2024,,Stock,2,2
AC242141268,105D31L 100AH,21/Mar/2024,,Stock,2,2
AE242650764,55D23L 60AH,26/May/2024,,Stock,1,1
AF240153072,80D26L 70AH,1/Jun/2024,,Stock,2,2
AE242650767,NS60LS 45AH,26/May/2024,,Stock,2,2
AE242750857,DIN66L 66AH,27/May/2024,,Stock,1,1
AE242750856,80D26L 70AH,27/May/2024,,Stock,1,1
AF240153076,DIN55L 60AH,1/Jun/2024,,Stock,2,2
AE242550699,95D31L 90AH,25/May/2024,,Stock,1,1
AE241849668,NS40L 35AH,18/May/2024,,Stock,2,2
AE242150264,80D26R 70AH,21/May/2024,,Stock,2,2
AA240933694,NS40L 35AH,9-Jan-2024,,Stock,1,1
AE240948014,NS60L 45AH,9/May/2024,,Stock,1,1
AE240247190,80D26R 70AH,2/May/2024,,Stock,1,1
AE242750969,80D26L 70AH,28/May/2024,,Stock,1,1
AE240948017,80D26L 70AH,9/May/2024,,Stock,2,2
AE240447222,80D26L 70AH,4/May/2024,,Stock,2,2
AE242851862,NS60LS 45AH,29/May/2024,,Stock,2,2
AF240353958,DIN55L 60AH,3/Jun/2024,,Stock,2,2
AE242750966,55D23L 60AH,28/May/2024,,Stock,1,1
AE242650765,DIN80L 80AH,26/May/2024,,Stock,1,1
AE240948013,DIN80L 80AH,9/May/2024,,Stock,1,1
AE242250560,105D31R 100AH,22/May/2024,,Stock,1,1
AF240253529,DIN55L 60AH,2/Jun/2024,,Stock,1,1
AE241849667,NS60L 45AH,18/May/2024,,Stock,2,2
AF240253536,DIN55L 60AH,2/Jun/2024,,Stock,2,2
AB240336161,DIN44L 45AH,3/Feb/2024,,Stock,2,2
AE242952429,DIN55L 60AH,30/May/2024,,Stock,1,1
AE242350636,NS60LS 45AH,23/May/2024,,Stock,1,1
AF240153090,DIN55L 60AH,1/Jun/2024,,Stock,1,1
AE242952482,65-72S 75AH,30/May/2024,,Stock,2,2
AE241248608,NS60LS 45AH,12/May/2024,,Stock,2,2
AF240153091,DIN66L 66AH,1/Jun/2024,,Stock,1,1
AF240253530,DIN74L 74AH,2/Jun/2024,,Stock,1,1
AE242750968,80D26L 70AH,28/May/2024,,Stock,1,1
AE242750967,55D23L 60AH,28/May/2024,,Stock,1,1
AE242851864,DIN74L 74AH,29/May/2024,,Stock,2,2
AF240253533,80D26L 70AH,2/Jun/2024,,Stock,2,2
AF240153089,80D26L 70AH,1/Jun/2024,,Stock,1,1
AF240353961,DIN66L 66AH,3/Jun/2024,,Stock,1,1
AE242952428,95D31L 90AH,30/May/2024,,Stock,1,1
AF240253531,DIN74L 74AH,2/Jun/2024,,Stock,1,1
AF240454243,DIN80L 80AH,4/Jun/2024,,Stock,1,1
AF240554353,DIN55L 60AH,5/Jun/2024,,Stock,1,1
AF240353959,80D26L 70AH,3/Jun/2024,,Stock,1,1
AF240454231,80D26L 70AH,4/Jun/2024,,Stock,1,1
AF240454325,80D26L 70AH,8/Jun/2024,,Stock,1,1
AF240153077,DIN80L 80AH,1/Jun/2024,,Stock,2,2
AF240554356,DIN55L 55AH,5/Jun/2024,,Stock,2,2
AF240454212,80D26L 70AH,4/Jun/2024,,Stock,2,2
AF240454216,DIN55L 60AH,4/Jun/2024,,Stock,2,2
AF240454211,80D26L 70AH,4/Jun/2024,,Stock,2,2
AF240253526,55D23L 60AH,2/Jun/2024,,Stock,1,1
AF240253528,DIN55L 60AH,2/Jun/2024,,Stock,1,1
AE242350638,DIN44L 45AH,23/May/2024,,Stock,2,2
AF240454328,80D26L 70AH,8/Jun/2024,,Stock,1,1
AF240253527,NS60LS 45AH,2/Jun/2024,,Stock,1,1
AF240454232,80D26R 70AH,4/Jun/2024,,Stock,1,1
AF240654564,DIN55L 60AH,6/Jun/2024,,Stock,1,1
AF240454233,DIN80L 80AH,4/Jun/2024,,Stock,1,1
AF240454244,DIN55L 60AH,4/Jun/2024,,Stock,1,1
AF240954837,80D26L 70AH,9/Jun/2024,,Stock,2,2
AC241040315,NS40L 35AH BH,10/Mar/2024,,Stock,2,2
AE240948016,55D23L 55AH,9/May/2024,,Stock,2,2
AD240842670,NS60LS 45AH,8/Apr/2024,,Stock,1,1
AE241649531,105D31L 100AH,16/May/2024,,Stock,1,1
AE242851861,NS60LS 45AH,29/May/2024,,Stock,2,2
AF240554355,DIN44L 45AH,5/Jun/2024,,Stock,2,2
AF240854674,DIN55L 60AH,8/Jun/2024,,Stock,1,1
AF240854675,DIN74L 74AH,8/Jun/2024,,Stock,1,1
AE241449289,DIN55L 55AH,14/May/2024,,Stock,1,1
AF241055142,DIN55L 60AH,10/Jun/2024,,Stock,1,1
AF240454323,80D26L 70AH,8/Jun/2024,,Stock,1,1
AF240954840,DIN55L 60AH,9/Jun/2024,,Stock,2,2
AE242350637,55D23L 60AH,23/May/2024,,Stock,2,2
AF240954838,80D26L 70AH,9/Jun/2024,,Stock,2,2
AF240954839,DIN55L 60AH,9/Jun/2024,,Stock,2,2
AF240954835,80D26L 70AH,9/Jun/2024,,Stock,1,1
AF241155248,DIN55L 60AH,11/Jun/2024,,Stock,1,1
AF240954836,80D26L 70AH,9/Jun/2024,,Stock,1,1
AF240353960,95D31L 90AH,3/Jun/2024,,Stock,1,1
AF240253535,DIN74L 74AH,2/Jun/2024,,Stock,2,2
AF241355419,55D23L 60AH,13/Jun/2024,,Stock,2,2
AE242851863,55D23L 60AH,29/May/2024,,Stock,2,2
AF240854676,DIN74L 74AH,8/Jun/2024,,Stock,1,1
AF241055140,80D26L 70AH,10/Jun/2024,,Stock,1,1
AF241155247,80D26R 70AH,11/Jun/2024,,Stock,1,1
AF241155249,DIN55L 60AH,11/Jun/2024,,Stock,1,1
AF240654565,DIN66L 66AH,6/Jun/2024,,Stock,1,1
AF241355476,DIN74L 74AH,13/Jun/2024,,Stock,2,2
AF241155246,80D26L 70AH,11/Jun/2024,,Stock,1,1
AF240854673,95D31L 90AH,8/Jun/2024,,Stock,1,1
AF240454326,80D26L 70AH,8/Jun/2024,,Stock,2,2
AF240454230,55D23L 60AH,4/Jun/2024,,Stock,1,1
AE240948015,NS60L 45AH,9/May/2024,,Stock,1,1
AF241255337,DIN74L 74AH,12/Jun/2024,,Stock,1,1
AE242851857,55D23L 60AH,29/May/2024,,Stock,1,1
AF241355518,95D31L 90AH,13/Jun/2024,,Stock,1,1
AF241155244,80D26L 70AH,11/Jun/2024,,Stock,2,2
AF241355420,80D26L 70AH,13/Jun/2024,,Stock,2,2
AF240854671,DIN74L 74AH,8/Jun/2024,,Stock,2,2
AF241355717,DIN74L 74AH,13/Jun/2024,,Stock,2,2
AF241355650,80D26L 70AH,13/Jun/2024,,Stock,1,1
AF241255333,80D26L 70AH,12/Jun/2024,,Stock,1,1
AF241355519,DIN55L 60AH,13/Jun/2024,,Stock,1,1
AF241355517,80D26L 70AH,13/Jun/2024,,Stock,1,1
AF241355651,80D26L 70AH,13/Jun/2024,,Stock,1,1
AF240854678,DIN80L 80AH,8/Jun/2024,,Stock,1,1
AF241355694,80D26L 70AH,13/Jun/2024,,Stock,2,2
QBFD26K230524754,80D26L 70AH,10/Jun/2024,,Stock,2,2
AF241355687,55D23L 60AH,13/Jun/2024,,Stock,2,2
AF240654558,65-72S 75AH,6/Jun/2024,,Stock,2,2
AF241355688,55D23L 60AH,13/Jun/2024,,Stock,2,2
AF241355715,DIN66L 66AH,13/Jun/2024,,Stock,2,2
AE241849849,NS60LS 45AH,8/Jun/2024,,Stock,2,2
AF241355693,80D26L 70AH,13/Jun/2024,,Stock,2,2
AF241355690,80D26L 70AH,13/Jun/2024,,Stock,2,2
AF240153073,80D26R 70AH,1/Jun/2024,,Stock,2,2
AF241355422,DIN55L 60AH,13/Jun/2024,,Stock,2,2
AF241355707,DIN55L 60AH,13/Jun/2024,,Stock,2,2
AF240454213,80D26R 70AH,4/Jun/2024,,Stock,2,2
AF241355692,80D26L 70AH,13/Jun/2024,,Stock,2,2
AF241955834,55D23L 60AH,19/Jun/2024,,Stock,2,2
AF241355666,DIN55L 60AH,13/Jun/2024,,Stock,2,1
AF241355710,DIN55L 60AH,13/Jun/2024,,Stock,2,2
AF241355691,80D26L 70AH,13/Jun/2024,,Stock,2,2
AF240554354,NS60L 45AH,5/Jun/2024,,Stock,2,2
AE240146880,DIN100L 100AH,1/May/2024,,Stock,2,2
AF241955785,80D26L 70AH,19/Jun/2024,,Stock,2,2
AF241155245,NS40L 35AH BH,11/Jun/2024,,Stock,2,2
AF241355719,DIN74L 74AH,13/Jun/2024,,Stock,2,2
AE241348917,DIN55L 55AH,13/May/2024,,Stock,2,2
AF240153075,NS60L 45AH,1/Jun/2024,,Stock,2,2
AF241355711,DIN55L 60AH,13/Jun/2024,,Stock,2,2
AA242335251,55D23R 55AH,23/Jan/2024,,Stock,2,2
